numerical__age,numerical__monthly_charges,numerical__tenure_months,numerical__support_calls,categorical__contract_type_Month-to-month,categorical__contract_type_One year,categorical__contract_type_Two year,categorical__internet_service_DSL,categorical__internet_service_Fiber,categorical__payment_method_Bank transfer,categorical__payment_method_Credit card,categorical__payment_method_Electronic check
-1.140473728593732,-1.3204753476232223,-1.1302803406228117,1.2795069322901438,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.3367112912991018,0.49512163120143504,0.42582654693231514,-0.7016650919010465,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.16292481837053313,0.4226427098910695,0.3417126611185245,-0.7016650919010465,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
-0.010861654558035543,-0.04122238649527,0.005257117863361915,-0.20637208585324893,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
-1.401153437986585,-1.4255697835232524,-1.172337283529707,1.7747999383379416,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.7711774736205236,0.9299951590636284,0.8463959760012684,-0.7016650919010465,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-1.2273669650580163,-1.3893303228680696,-1.2143942264366023,1.7747999383379416,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3584346004151729,-0.24778731222981196,-0.24708453957801002,-0.20637208585324893,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.90078954765622,1.5823054508569185,1.7716487199529654,-1.1969580979488441,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.5973910006919548,0.8285246692291167,0.7622820901874777,-0.7016650919010465,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.27154136395088857,0.2052059459599728,-0.33119842539180067,-0.20637208585324893,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1.7270030747276512,1.509826529546553,1.6875348341391747,-1.1969580979488441,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.619114309808026,-0.5920621884540483,-0.7517678544607539,0.2889209201945487,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.09775489102231989,-0.08470973928148944,-0.16297065376421938,-0.20637208585324893,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
-0.44532783687945726,-0.6645411097644139,-0.8358817402745445,0.7842139262423463,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.24981805483481748,0.3247961661220759,0.25759877530473385,-0.7016650919010465,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1.4663233653347982,1.4011081475810045,1.477250119604698,-1.1969580979488441,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
-0.7060075462723103,-0.5195832671436829,-0.6676539686469632,0.2889209201945487,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.879794019200879,-0.6283016491092311,-0.7938247973676492,0.2889209201945487,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.0535804921294476,-1.2443724802473384,-1.0882233977159164,1.2795069322901438,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.3142602015223006,-1.4799289745060265,-1.172337283529707,1.7747999383379416,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.2056436559419452,1.2017911139774993,1.2669654050702215,-1.1969580979488441,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
-0.5322210733437416,-0.7370200310747795,-0.8779386831814399,0.7842139262423463,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.640109838263367,1.4735870688913701,1.603420948325384,-1.1969580979488441,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
